Date,Open,High,Low,Close*,Adj Close**,Volume
"Oct 04, 2022","3,726.46","3,791.92","3,726.46","3,790.93","3,790.93","5,146,580,000"
"Oct 03, 2022","3,609.78","3,698.35","3,604.93","3,678.43","3,678.43","4,806,680,000"
"Sep 30, 2022","3,633.48","3,671.44","3,584.13","3,585.62","3,585.62","5,645,360,000"
"Sep 29, 2022","3,687.01","3,687.01","3,610.40","3,640.47","3,640.47","4,681,810,000"
"Sep 28, 2022","3,651.94","3,736.74","3,640.61","3,719.04","3,719.04","4,684,850,000"
"Sep 27, 2022","3,686.44","3,717.53","3,623.29","3,647.29","3,647.29","4,577,740,000"
"Sep 26, 2022","3,682.72","3,715.67","3,644.76","3,655.04","3,655.04","4,886,140,000"
"Sep 23, 2022","3,727.14","3,727.14","3,647.47","3,693.23","3,693.23","5,144,270,000"
"Sep 22, 2022","3,782.36","3,790.90","3,749.45","3,757.99","3,757.99","4,284,600,000"
"Sep 21, 2022","3,871.40","3,907.07","3,789.49","3,789.93","3,789.93","4,078,330,000"
"Sep 20, 2022","3,875.23","3,876.01","3,827.54","3,855.93","3,855.93","4,058,050,000"
"Sep 19, 2022","3,849.91","3,900.45","3,838.50","3,899.89","3,899.89","3,766,850,000"
"Sep 16, 2022","3,880.95","3,880.95","3,837.08","3,873.33","3,873.33","7,954,650,000"
"Sep 15, 2022","3,932.41","3,959.14","3,888.28","3,901.35","3,901.35","4,441,830,000"
"Sep 14, 2022","3,940.73","3,961.94","3,912.18","3,946.01","3,946.01","4,293,240,000"
"Sep 13, 2022","4,037.12","4,037.12","3,921.28","3,932.69","3,932.69","4,224,550,000"
"Sep 12, 2022","4,083.67","4,119.28","4,083.67","4,110.41","4,110.41","3,814,200,000"
"Sep 09, 2022","4,022.94","4,076.81","4,022.94","4,067.36","4,067.36","3,901,940,000"
"Sep 08, 2022","3,959.94","4,010.50","3,944.81","4,006.18","4,006.18","3,966,850,000"
"Sep 07, 2022","3,909.43","3,987.89","3,906.03","3,979.87","3,979.87","3,890,320,000"
"Sep 06, 2022","3,930.89","3,942.55","3,886.75","3,908.19","3,908.19","4,127,340,000"
"Sep 02, 2022","3,994.66","4,018.43","3,906.21","3,924.26","3,924.26","4,134,920,000"
"Sep 01, 2022","3,936.73","3,970.23","3,903.65","3,966.85","3,966.85","3,754,570,000"
"Aug 31, 2022","4,000.67","4,015.37","3,954.53","3,955.00","3,955.00","3,797,860,000"
"Aug 30, 2022","4,041.25","4,044.98","3,965.21","3,986.16","3,986.16","3,190,580,000"
"Aug 29, 2022","4,034.58","4,062.99","4,017.42","4,030.61","4,030.61","2,963,020,000"
"Aug 26, 2022","4,198.74","4,203.04","4,057.66","4,057.66","4,057.66","3,175,260,000"
"Aug 25, 2022","4,153.26","4,200.54","4,147.59","4,199.12","4,199.12","2,976,050,000"
"Aug 24, 2022","4,126.55","4,156.56","4,119.97","4,140.77","4,140.77","3,056,910,000"
"Aug 23, 2022","4,133.09","4,159.77","4,124.03","4,128.73","4,128.73","3,117,800,000"
"Aug 22, 2022","4,195.08","4,195.08","4,129.86","4,137.99","4,137.99","3,365,220,000"
"Aug 19, 2022","4,266.31","4,266.31","4,218.70","4,228.48","4,228.48","3,210,680,000"
"Aug 18, 2022","4,273.13","4,292.53","4,261.98","4,283.74","4,283.74","2,871,990,000"
"Aug 17, 2022","4,280.40","4,302.18","4,253.08","4,274.04","4,274.04","3,293,430,000"
"Aug 16, 2022","4,290.46","4,325.28","4,277.77","4,305.20","4,305.20","3,792,010,000"
"Aug 15, 2022","4,269.37","4,301.79","4,256.90","4,297.14","4,297.14","3,087,740,000"
"Aug 12, 2022","4,225.02","4,280.47","4,219.78","4,280.15","4,280.15","3,252,290,000"
"Aug 11, 2022","4,227.40","4,257.91","4,201.41","4,207.27","4,207.27","3,925,060,000"
"Aug 10, 2022","4,181.02","4,211.03","4,177.26","4,210.24","4,210.24","3,998,590,000"
"Aug 09, 2022","4,133.11","4,137.30","4,112.09","4,122.47","4,122.47","3,337,150,000"
"Aug 08, 2022","4,155.93","4,186.62","4,128.97","4,140.06","4,140.06","3,604,650,000"
"Aug 05, 2022","4,115.87","4,151.58","4,107.31","4,145.19","4,145.19","3,540,260,000"
"Aug 04, 2022","4,154.85","4,161.29","4,135.42","4,151.94","4,151.94","3,565,810,000"
"Aug 03, 2022","4,107.96","4,167.66","4,107.96","4,155.17","4,155.17","3,544,410,000"
"Aug 02, 2022","4,104.21","4,140.47","4,079.81","4,091.19","4,091.19","3,880,790,000"
"Aug 01, 2022","4,112.38","4,144.95","4,096.02","4,118.63","4,118.63","3,540,960,000"
"Jul 29, 2022","4,087.33","4,140.15","4,079.22","4,130.29","4,130.29","3,817,740,000"
"Jul 28, 2022","4,026.13","4,078.95","3,992.97","4,072.43","4,072.43","3,882,850,000"
